date,table_name,hash_id_duplications
2024-09-09 13:29:58,h_vaccine,18.0
2024-09-09 13:30:00,s_lab_labtest,561.0
2024-09-09 13:30:01,h_facility_visit,303249.0
2024-09-09 13:30:02,h_person_treatment,1.0
2024-09-09 13:30:04,s_vaccination_main,5.0
2024-09-09 13:30:05,s_person_treatment,2.0
2024-09-09 13:30:06,h_facility_personnel,0.0
2024-09-09 13:30:08,s_person_contact,83181.0
2024-09-09 13:30:12,h_person,36667.0
2024-09-09 13:30:13,h_race,7.0
2024-09-09 13:30:16,s_person_alias,0.0
2024-09-09 13:30:17,s_facility_main,8006.0
2024-09-09 13:30:19,h_labtest,103972.0
2024-09-09 13:30:20,h_facility_organization,3403.0
2024-09-09 13:30:21,s_facility_clinic,0.0
2024-09-09 13:30:22,h_treatment,35.0
2024-09-09 13:30:25,s_person_immigration,0.0
2024-09-09 13:30:26,s_school_district,1.0
2024-09-09 13:30:28,s_address_other,3205.0
2024-09-09 13:30:28,h_condition,6.0
2024-09-09 13:30:30,h_vaccine_inventory,0.0
2024-09-09 13:30:31,s_vaccine_transaction,0.0
2024-09-09 13:30:38,h_vaccination,795.0
2024-09-09 13:30:39,s_outbreak,0.0
2024-09-09 13:30:40,s_person_occupation,4.0
2024-09-09 13:30:41,s_facility_visit,219.0
2024-09-09 13:30:42,h_person_travel,1.0
2024-09-09 13:30:43,s_tag_main,41.0
2024-09-09 13:30:44,s_vaccination_adverse_reaction,0.0
2024-09-09 13:30:46,s_person_condition,0.0
2024-09-09 13:30:47,s_vaccine_order_line,0.0
2024-09-09 13:30:48,s_vaccine_code_main,0.0
2024-09-09 13:30:49,h_exposure,0.0
2024-09-09 13:30:50,h_vaccine_order,0.0
2024-09-09 13:30:51,s_facility_clinic_personnel,0.0
2024-09-09 13:30:52,s_person_pregnant,6.0
2024-09-09 13:30:53,s_person_travel,1.0
2024-09-09 13:30:54,s_person_address,93275.0
2024-09-09 13:30:55,s_person_condition_workflow,950.0
2024-09-09 13:31:00,s_person_profile_main,71573.0
2024-09-09 13:31:03,s_vaccination_other,0.0
2024-09-09 13:31:04,s_exposure_main,0.0
2024-09-09 13:31:05,s_race_main,14.0
2024-09-09 13:31:09,s_answer,0.0
2024-09-09 13:31:10,s_facility_organization,0.0
2024-09-09 13:31:12,s_person_profile_other,71458.0
2024-09-09 13:31:13,s_facility_contact,6189.0
2024-09-09 13:31:16,s_person_relationship,0.0
2024-09-09 13:31:17,s_condition_main,2.0
2024-09-09 13:31:17,s_facility_org_address,0.0
2024-09-09 13:31:18,s_form,88.0
2024-09-09 13:31:19,h_form,24.0
2024-09-09 13:31:20,h_vaccine_code,18.0
2024-09-09 13:31:21,s_treatment_main,69.0
2024-09-09 13:31:24,s_person_clinic_program,278.0
2024-09-09 13:31:24,s_facility_personnel_address,0.0
2024-09-09 13:31:26,h_person_condition,5.0
2024-09-09 13:31:27,h_facility,3403.0
2024-09-09 13:31:28,s_question,21450.0
2024-09-09 13:31:29,h_question,246.0
2024-09-09 13:31:30,s_vaccine_main,36.0
2024-09-09 13:31:31,h_school_district,0.0
2024-09-09 13:31:34,h_lab,692.0
2024-09-09 13:31:35,h_tag,21.0
2024-09-09 13:31:37,s_address_main,4148.0
2024-09-09 13:31:38,s_facility_personnel,0.0
2024-09-09 13:31:39,s_school_main,4.0
2024-09-09 13:31:40,h_person_occupation,4.0
2024-09-09 13:31:42,s_lab_main,512.0
2024-09-09 13:31:43,s_vaccine_inventory,82.0
2024-09-09 13:31:44,h_outbreak,0.0
2024-09-09 13:31:44,s_vaccine_return,0.0
2024-09-09 13:31:46,h_school,0.0
2024-09-09 13:31:48,h_address,3202.0
2024-09-09 13:31:49,s_vaccine_order_main,0.0
