date,table_name,has_pks,pk_duplicates
2024-09-07 19:36:21,h_address,True,71518
2024-09-07 19:36:24,h_answer,True,0
2024-09-07 19:36:30,h_condition,True,0
2024-09-07 19:36:31,h_exposure,True,0
2024-09-07 19:36:31,h_facility,True,0
2024-09-07 19:36:32,h_facility_organization,True,0
2024-09-07 19:36:33,h_facility_personnel,True,0
2024-09-07 19:36:34,h_facility_visit,True,0
2024-09-07 19:36:36,h_form,True,3
2024-09-07 19:36:37,h_lab,True,2
2024-09-07 19:36:40,h_labtest,True,2
2024-09-07 19:36:44,h_outbreak,True,0
2024-09-07 19:36:45,h_person,True,0
2024-09-07 19:36:49,h_person_condition,True,0
2024-09-07 19:36:52,h_person_occupation,True,0
2024-09-07 19:36:54,h_person_travel,True,0
2024-09-07 19:36:55,h_person_treatment,True,0
2024-09-07 19:36:55,h_question,True,0
2024-09-07 19:36:56,h_race,True,0
2024-09-07 19:36:57,h_school,True,0
2024-09-07 19:36:58,h_school_district,True,0
2024-09-07 19:36:59,h_tag,True,0
2024-09-07 19:36:59,h_treatment,True,0
2024-09-07 19:37:00,h_vaccination,True,794
2024-09-07 19:37:04,h_vaccine,True,0
2024-09-07 19:37:05,h_vaccine_code,True,18
2024-09-07 19:37:06,h_vaccine_inventory,True,0
2024-09-07 19:37:07,h_vaccine_order,True,0
2024-09-07 19:37:08,l_condition_outbreak,True,0
2024-09-07 19:37:09,l_facility_address,True,0
2024-09-07 19:37:10,l_facility_lab,True,4
2024-09-07 19:37:13,l_facility_organization_personnel,True,0
2024-09-07 19:37:14,l_lab_labtest,True,0
2024-09-07 19:37:16,l_person_address,True,0
2024-09-07 19:37:18,l_person_condition,True,0
2024-09-07 19:37:23,l_person_condition_exposure,True,0
2024-09-07 19:37:24,l_person_condition_facility_visit,True,298960
2024-09-07 19:37:26,l_person_condition_lab,True,0
2024-09-07 19:37:30,l_person_condition_outbreak,True,198169
2024-09-07 19:37:32,l_person_condition_person_occupation,True,0
2024-09-07 19:37:34,l_person_condition_person_travel,True,0
2024-09-07 19:37:35,l_person_condition_person_treatment,True,0
2024-09-07 19:37:35,l_person_condition_tag,True,0
2024-09-07 19:37:36,l_person_condition_treatment,True,833
2024-09-07 19:37:37,l_person_form_question_response,True,7395225
2024-09-07 19:37:43,l_person_person_occupation,True,0
2024-09-07 19:37:44,l_person_race,True,0
2024-09-07 19:37:47,l_person_vaccination,True,0
2024-09-07 19:37:51,l_school_address,True,0
2024-09-07 19:37:52,l_school_district_address,True,0
2024-09-07 19:37:53,l_vaccination_facility,True,1
2024-09-07 19:37:56,s_address_main,True,30355
2024-09-07 19:37:58,s_address_other,True,29416
2024-09-07 19:38:00,s_answer,True,2
2024-09-07 19:38:06,s_condition_main,True,105
2024-09-07 19:38:07,s_exposure_main,True,0
2024-09-07 19:38:08,s_facility_clinic,True,0
2024-09-07 19:38:09,s_facility_clinic_personnel,True,6016
2024-09-07 19:38:09,s_facility_contact,True,0
2024-09-07 19:38:10,s_facility_main,True,2817
2024-09-07 19:38:11,s_facility_org_address,True,0
2024-09-07 19:38:12,s_facility_organization,True,347
2024-09-07 19:38:13,s_facility_personnel,True,0
2024-09-07 19:38:14,s_facility_personnel_address,True,0
2024-09-07 19:38:15,s_facility_visit,True,51
2024-09-07 19:38:16,s_form,True,0
2024-09-07 19:38:17,s_lab_labtest,True,0
2024-09-07 19:38:19,s_lab_main,True,6
2024-09-07 19:38:21,s_outbreak,True,0
2024-09-07 19:38:22,s_person_MPI,True,4768151
2024-09-07 19:38:25,s_person_address,True,0
2024-09-07 19:38:27,s_person_alias,True,0
2024-09-07 19:38:30,s_person_clinic_program,True,0
2024-09-07 19:38:34,s_person_condition,True,0
2024-09-07 19:38:37,s_person_condition_workflow,True,0
2024-09-07 19:38:38,s_person_contact,True,0
2024-09-07 19:38:41,s_person_immigration,True,0
2024-09-07 19:38:45,s_person_occupation,True,5
2024-09-07 19:38:46,s_person_pregnant,False,N/A
2024-09-07 19:38:46,s_person_profile_main,True,0
2024-09-07 19:38:49,s_person_profile_other,True,0
2024-09-07 19:38:51,s_person_relationship,True,0
2024-09-07 19:38:56,s_person_travel,True,0
2024-09-07 19:38:57,s_person_treatment,True,0
2024-09-07 19:38:58,s_question,True,0
2024-09-07 19:38:58,s_race_main,True,0
2024-09-07 19:38:59,s_school_district,True,0
2024-09-07 19:39:00,s_school_main,True,20078
2024-09-07 19:39:01,s_tag_main,True,0
2024-09-07 19:39:02,s_treatment_main,True,0
2024-09-07 19:39:02,s_vaccination_adverse_reaction,True,0
2024-09-07 19:39:03,s_vaccination_main,True,0
2024-09-07 19:39:06,s_vaccination_other,True,0
2024-09-07 19:39:11,s_vaccine_code_main,True,0
2024-09-07 19:39:12,s_vaccine_inventory,True,0
2024-09-07 19:39:13,s_vaccine_main,True,536
2024-09-07 19:39:14,s_vaccine_order_line,True,0
2024-09-07 19:39:16,s_vaccine_order_main,True,0
2024-09-07 19:39:17,s_vaccine_return,True,0
2024-09-07 19:39:18,s_vaccine_transaction,True,0
2024-09-07 19:39:20,sal_person_matched,True,36928
2024-09-07 19:39:24,standard_county_lpha,False,N/A
